Episode,Published,Views,Likes,Comments,ID,Time (sec),URL
The Unholy Roman Emperor Frederick II 1: The Pope's Pet | European History | Extra History,2025-01-25,608222,21231,590,IkWE_BNkMLY,998.0,https://www.youtube.com/watch?v=IkWE_BNkMLY
"The History of 4,000,000 | Extra History #shorts",2025-01-23,450028,38422,315,dgfNB96Y2Qw,71.0,https://www.youtube.com/watch?v=dgfNB96Y2Qw
Irish Potato Famine | Extra History Complete | Irish History,2025-01-18,1087569,23577,1471,PRloj_jb1xQ,3181.0,https://www.youtube.com/watch?v=PRloj_jb1xQ
History of Disease: The Yips | Extra History #shorts,2025-01-16,575238,52658,325,exMLdSEJumc,65.0,https://www.youtube.com/watch?v=exMLdSEJumc
The Pazzi Conspiracy | LIES | Extra History,2025-01-15,70143,2194,142,pdkWyqjD1M0,1838.0,https://www.youtube.com/watch?v=pdkWyqjD1M0
The Bonfire of the Vanities | Italian History | Extra History,2025-01-11,257119,11583,389,eEiKk-us_lA,775.0,https://www.youtube.com/watch?v=eEiKk-us_lA
That Time the US Bombed Montana | Extra History #shorts,2025-01-09,4807887,403695,1219,xGr3Dox9Eh4,58.0,https://www.youtube.com/watch?v=xGr3Dox9Eh4
The Pazzi Conspiracy 4: Well Executed | Italian History | Extra History,2025-01-04,269370,12187,274,-dDwWxU8BiA,611.0,https://www.youtube.com/watch?v=-dDwWxU8BiA
Marriage Massacre | Worst Wedding's in History #shorts,2025-01-02,2693062,226626,618,eaZweE8WxKU,64.0,https://www.youtube.com/watch?v=eaZweE8WxKU
The Pazzi Conspiracy 3: Street Justice | Italian History | Extra History,2024-12-28,276729,12285,471,EGmv70-WQyo,608.0,https://www.youtube.com/watch?v=EGmv70-WQyo
Stalin's Stupid Parenting | Worst Dads in History #shorts,2024-12-26,4825401,432409,1684,1dTdwZWSQt0,66.0,https://www.youtube.com/watch?v=1dTdwZWSQt0
The Pazzi Conspiracy 2: Blood in the Cathedral | Italian History | Extra History,2024-12-21,298602,12608,299,iZ7ZwxcfMmM,566.0,https://www.youtube.com/watch?v=iZ7ZwxcfMmM
Cryptids for Christmas | D&D Actual Play | Charity Drive Reward!,2024-12-19,24539,859,59,xDhd_L3Jlr4,12148.0,https://www.youtube.com/watch?v=xDhd_L3Jlr4
Bird Poop vs. Electricity | Extra History #shorts,2024-12-19,1594544,132452,368,Ehk7HVGBT8o,75.0,https://www.youtube.com/watch?v=Ehk7HVGBT8o
The Pazzi Conspiracy 1: The Pope’s Plot | Italian History | Extra History,2024-12-14,439686,15978,460,3a80aHHIqZ0,722.0,https://www.youtube.com/watch?v=3a80aHHIqZ0
How Victorian Workhouses Changed Charity | European History | Extra History,2024-12-12,516267,19231,1174,KreHl5JTQcU,806.0,https://www.youtube.com/watch?v=KreHl5JTQcU
When Dancing Was Addictive | Dancing Plague | Weird Days in History #shorts,2024-12-12,2989365,280349,1141,YvUxZcD9JKc,56.0,https://www.youtube.com/watch?v=YvUxZcD9JKc
The GOAT of Holiday Animals | Scandinavian History | Extra History,2024-12-07,216036,11140,562,noY9iXUHJfM,694.0,https://www.youtube.com/watch?v=noY9iXUHJfM
New York's War on Pinball! | Extra History #shorts,2024-12-05,1540568,137864,323,moFBf0HL5pM,60.0,https://www.youtube.com/watch?v=moFBf0HL5pM
Nazi Occultism | LIES | Extra History,2024-11-30,144765,2731,236,xRwnSoaNmjA,2093.0,https://www.youtube.com/watch?v=xRwnSoaNmjA
The First Black Friday | Extra History #shorts,2024-11-27,1192573,108045,194,5cV13aymyL4,56.0,https://www.youtube.com/watch?v=5cV13aymyL4
The Story of Beer | Extra History Complete | World History,2024-11-27,773559,17908,597,VEXoJhDNKAc,2627.0,https://www.youtube.com/watch?v=VEXoJhDNKAc
House of Death: The Collyer Brothers | US History | Extra History,2024-11-23,324431,12207,358,X_cEcBcC7WA,637.0,https://www.youtube.com/watch?v=X_cEcBcC7WA
Giant Teeth From Heaven?! | Cotton Mather | Weird Dudes in History #shorts,2024-11-21,3834769,354632,985,nuinIboVaRc,60.0,https://www.youtube.com/watch?v=nuinIboVaRc
Nazi Occultism 5: Thor's Hammer | European History | WW2 | Extra History,2024-11-16,417194,18304,791,1H-z5Dhy5c8,692.0,https://www.youtube.com/watch?v=1H-z5Dhy5c8
Fairy King Goodwin Wharton | Weird Dudes in History #shorts,2024-11-14,2993228,313060,1112,0SGYDlktMJU,60.0,https://www.youtube.com/watch?v=0SGYDlktMJU
Nazi Occultism 4: The Indiana Jones Stuff | European History | WW2 | Extra History,2024-11-09,453663,17120,468,Tg8CpKzcFm8,787.0,https://www.youtube.com/watch?v=Tg8CpKzcFm8
Korean King’s Hilarious Secret 🤫 | Extra History #shorts,2024-11-07,3149278,326110,843,iBzHVnxMWMQ,59.0,https://www.youtube.com/watch?v=iBzHVnxMWMQ
Nazi Occultism 3: Hitler vs Magic | European History | WW2 | Extra History,2024-11-02,416165,16733,560,06fXIstwddk,717.0,https://www.youtube.com/watch?v=06fXIstwddk
London Ghost Murder 👻 | Extra History #shorts,2024-10-31,2449912,197387,368,WESMO1Me1l4,60.0,https://www.youtube.com/watch?v=WESMO1Me1l4
Nazi Occultism 2: Weird Science | European History | WW2 | Extra History,2024-10-26,493827,19396,1246,6MEzUovLTMs,712.0,https://www.youtube.com/watch?v=6MEzUovLTMs
Communist Brain Washing | Extra History #shorts,2024-10-23,2095897,167542,686,nkCUw-Zv1Iw,60.0,https://www.youtube.com/watch?v=nkCUw-Zv1Iw
Nazi Occultism 1: The Thule Society | European History | WW2 | Extra History,2024-10-19,884120,32468,1270,TokYUITs6zs,719.0,https://www.youtube.com/watch?v=TokYUITs6zs
Medal of Honor of Revoked!? 🎖️ Mary Walker | Extra History #shorts,2024-10-17,8557426,739360,1746,Xh2OV_ZunCU,60.0,https://www.youtube.com/watch?v=Xh2OV_ZunCU
Vlad the Impaler | Extra History Complete | European History,2024-10-12,1067185,24303,548,BvFwqVzEsfw,2842.0,https://www.youtube.com/watch?v=BvFwqVzEsfw
Giuseppe Garibaldi: Unifying Italy | LIES | Extra History,2024-10-09,80107,1596,115,56QN6Eb1VQE,1875.0,https://www.youtube.com/watch?v=56QN6Eb1VQE
Victorian Abstinence Crackers | Weird Dudes in History #shorts,2024-10-08,6829751,560936,1807,sC5B8UcgaWo,60.0,https://www.youtube.com/watch?v=sC5B8UcgaWo
Fighting for the Right to Vote: Voting Rights Act of 1965 | US History | Extra History,2024-10-05,219619,10348,948,wiO2ebPi48o,670.0,https://www.youtube.com/watch?v=wiO2ebPi48o
A Monstrously Great Father | Tsar Nicholas II | Best Dad's in History #shorts,2024-10-02,3478699,351776,1683,RAkQZhz0NVE,57.0,https://www.youtube.com/watch?v=RAkQZhz0NVE
Garibaldi: Expedition of the Thousand | Unifying Italy | Extra History | Part 5,2024-09-28,251265,11794,390,_ctrANc5DkM,661.0,https://www.youtube.com/watch?v=_ctrANc5DkM
Hollow Earth... HOW? | Weird Dudes in History #shorts,2024-09-25,2665933,274379,1363,kXdhKwKq89Q,60.0,https://www.youtube.com/watch?v=kXdhKwKq89Q
