title,published,views,likes,comments,video_id,duration,url,days_since_start,final_cluster,series_name
Early Christian Schisms - The Council of Nicaea - Extra History - Part 3,2016-05-14,1536375,23133.0,1255.0,6d2lOQpuqd4,486.0,https://www.youtube.com/watch?v=6d2lOQpuqd4,981,78,Early Christian Schisms
"Early Christian Schisms - Ephesus, the Robber Council, and Chalcedon - Extra History - Part 4",2016-05-21,1343481,22811.0,1846.0,f9lEcwLnwfg,495.0,https://www.youtube.com/watch?v=f9lEcwLnwfg,988,78,Early Christian Schisms
Early Christian Schisms - Lies - Extra History,2016-05-28,451942,7622.0,934.0,6dnECIPXIRY,1165.0,https://www.youtube.com/watch?v=6dnECIPXIRY,995,78,Early Christian Schisms
Cleopatra - A Drunken Bet - Egyptian History - Extra History - Part 1,2020-09-27,846371,24367.0,946.0,ypswk9-DP9M,543.0,https://www.youtube.com/watch?v=ypswk9-DP9M,2578,20,Egyptian History
Cleopatra - Hail Caesar! - Egyptian History - Extra History - Part 2,2020-10-03,688310,22029.0,924.0,zGSfOOzHBGs,594.0,https://www.youtube.com/watch?v=zGSfOOzHBGs,2584,20,Egyptian History
"Cleopatra - Exit Caesar, Enter Antony! - Egyptian History - Extra History  - Part 3",2020-10-10,637704,20712.0,848.0,Vl1Yvl0U29Y,617.0,https://www.youtube.com/watch?v=Vl1Yvl0U29Y,2591,20,Egyptian History
Cleopatra - Death by Snake - Egyptian History - Extra History - Part 4,2020-10-17,576091,20019.0,914.0,i_Teuv7-LN8,631.0,https://www.youtube.com/watch?v=i_Teuv7-LN8,2598,20,Egyptian History
Cleopatra - Eternal Life - Egyptian History - Extra History - Part 5,2020-10-24,397777,17130.0,867.0,uNGUDaA9-GQ,566.0,https://www.youtube.com/watch?v=uNGUDaA9-GQ,2605,20,Egyptian History
Cleopatra - Lies - Egyptian History - Extra History,2020-11-07,91747,2936.0,347.0,2x1UkSVQfI8,1825.0,https://www.youtube.com/watch?v=2x1UkSVQfI8,2619,20,Egyptian History
Ramesses the Great: The Battle of Kadesh - Egyptian History - Part 1 - Extra History,2023-10-05,357321,13494.0,446.0,4BFh0kTOjBA,658.0,https://www.youtube.com/watch?v=4BFh0kTOjBA,3681,100,Egyptian History
Ramesses the Great: Reign of the God-King - Egyptian History - Part 2 - Extra History,2023-10-12,281403,10295.0,303.0,lA0MXYMXpe8,674.0,https://www.youtube.com/watch?v=lA0MXYMXpe8,3688,100,Egyptian History
The Draft Riots of 1863 - US Civil War - Extra History,2023-10-21,367385,15052.0,746.0,RRQ5OghPwKU,631.0,https://www.youtube.com/watch?v=RRQ5OghPwKU,3697,100,Egyptian History
Divorcing a King - Eleanor of Aquitaine - European History - Part 1 - Extra History,2022-08-20,755860,24907.0,719.0,fjalQSOLZE4,600.0,https://www.youtube.com/watch?v=fjalQSOLZE4,3270,39,Eleanor of Aquitaine
