Hypatia of Alexandria | LIES | Extra History,2024-07-04,104721,1888,111,wnUv-Yfm9t8,1693.0,https://www.youtube.com/watch?v=wnUv-Yfm9t8
History of the Board Game - Morals vs. Capitalism | US History | Extra History,2024-06-29,377637,12806,365,MR8tH-NRGxM,666.0,https://www.youtube.com/watch?v=MR8tH-NRGxM
Luckiest Gambler in History | Extra History #shorts,2024-06-25,4558708,398749,974,-Iq27_Yk90s,60.0,https://www.youtube.com/watch?v=-Iq27_Yk90s
Dark History of the Panama Railroad | U.S. History | Extra History,2024-06-22,379217,15239,388,mhaKccJLLn8,633.0,https://www.youtube.com/watch?v=mhaKccJLLn8
Catherine the Great’s Ukraine War | Russian History | Extra History #shorts,2024-06-19,2541419,205612,1480,W_LfiZ3ekOo,60.0,https://www.youtube.com/watch?v=W_LfiZ3ekOo
Hypatia of Alexandria: Everyone Gets Her Wrong | Roman History | Part 4 | Extra History,2024-06-15,235980,9466,379,Eoa4hydiLps,674.0,https://www.youtube.com/watch?v=Eoa4hydiLps
Hypatia of Alexandria: Mob Mentality | Roman History | Part 3 | Extra History,2024-06-08,238570,9485,436,95AAcjMB7Ps,701.0,https://www.youtube.com/watch?v=95AAcjMB7Ps
The Great Beaver Drop 🦫 | US History | Extra History #shorts,2024-06-04,7819649,580902,2259,HmK7490nYa0,60.0,https://www.youtube.com/watch?v=HmK7490nYa0
Hypatia of Alexandria: Christians vs. Pagans | Roman History | Part 2 | Extra History,2024-06-01,302874,11094,329,RqUy82EeBkE,651.0,https://www.youtube.com/watch?v=RqUy82EeBkE
Ancient Celebrity Murder: Hypatia of Alexandria | Roman History | Part 1 | Extra History,2024-05-25,509133,17002,517,SselOJQd2_4,628.0,https://www.youtube.com/watch?v=SselOJQd2_4
Did Shakespeare Rip Off Hamlet? | Extra History #shorts,2024-05-21,1974590,192563,845,uhyv0TwiSJ4,60.0,https://www.youtube.com/watch?v=uhyv0TwiSJ4
The Viking Expansion Compilation | European History | Extra History Complete,2024-05-18,1279352,27012,774,hdnUiIKGxG0,3937.0,https://www.youtube.com/watch?v=hdnUiIKGxG0
Secret Societies | LIES | Extra History,2024-05-15,150580,2627,220,opBy-sQ75Vw,1813.0,https://www.youtube.com/watch?v=opBy-sQ75Vw
Judy Garland’s Pill-Pusher Mom | Worst Mom's in History | Extra History #shorts,2024-05-12,11850112,931703,2486,-XrO0ZrmR7w,59.0,https://www.youtube.com/watch?v=-XrO0ZrmR7w
The Great Locomotive Chase: First Medals of Honor | US Train History | Extra History,2024-05-11,463397,16726,640,GFy9p1KB8SA,669.0,https://www.youtube.com/watch?v=GFy9p1KB8SA
People Get Godzilla Wrong 🦎 | Japanese History | Extra History #shorts,2024-05-07,9194464,667695,2233,gKzt9Pj2c_Y,60.0,https://www.youtube.com/watch?v=gKzt9Pj2c_Y
The Yakuza | Secret Societies 5 | Japanese History | Extra History,2024-05-04,853579,30468,640,wJqgqEHc3nw,699.0,https://www.youtube.com/watch?v=wJqgqEHc3nw
The Golden Dawn and Aleister Crowley | Secret Societies 4 | European History | Extra History,2024-04-27,483332,19299,1137,_kS_HrYtxF0,669.0,https://www.youtube.com/watch?v=_kS_HrYtxF0
Whose Gunpowder Won the Civil War?💥 | Extra History #shorts,2024-04-23,3303962,237581,942,PVSmFV3M0MU,58.0,https://www.youtube.com/watch?v=PVSmFV3M0MU
Knights of the Golden Circle | Secret Societies 3 | American History | Extra History,2024-04-20,456884,18172,605,PCqjbbJvAa4,747.0,https://www.youtube.com/watch?v=PCqjbbJvAa4
⚰️ Vikings Killed from Coffins! - Extra History #shorts,2024-04-16,3505215,329685,1199,SfcTfbYxXh8,60.0,https://www.youtube.com/watch?v=SfcTfbYxXh8
The Illuminati | Secret Societies 2 | European History | Extra History,2024-04-13,748356,25345,951,8_JXIXkDE4s,713.0,https://www.youtube.com/watch?v=8_JXIXkDE4s
The Cult of Mithras | Secret Societies 1 | Roman History | Extra History,2024-04-06,615199,27052,805,qmv7BhKEDUo,684.0,https://www.youtube.com/watch?v=qmv7BhKEDUo
The MOST Historical Boat! ⚓️ | Extra History | April Fools #shorts,2024-04-01,1586616,142237,752,foKwhqaE0Lk,60.0,https://www.youtube.com/watch?v=foKwhqaE0Lk
Sitting Bull - LIES - Native American History - Extra History,2024-03-30,76446,2086,168,Z_UraQtpL9E,1489.0,https://www.youtube.com/watch?v=Z_UraQtpL9E
💥 Who blew up the Parthenon? - Extra History #shorts,2024-03-26,4134139,363937,2929,5KfcHbunt5Q,59.0,https://www.youtube.com/watch?v=5KfcHbunt5Q
John L. Sullivan: Boston's Knockout King - US History - Extra History,2024-03-23,249018,11030,320,nI9yIGN2C7E,705.0,https://www.youtube.com/watch?v=nI9yIGN2C7E
The Gross History of White Bread 🤢 - Extra History #shorts,2024-03-19,11916409,773456,1836,NRapL6i5Zm8,59.0,https://www.youtube.com/watch?v=NRapL6i5Zm8
Jim Thorpe: The 20th Century's Greatest Athlete - US History - Extra History,2024-03-16,274777,11799,370,S2oaN0FEwN8,624.0,https://www.youtube.com/watch?v=S2oaN0FEwN8
The Murder of Sitting Bull - Native American History - Part 4 - Extra History,2024-03-09,230773,12067,576,YivoXjsOCPU,717.0,https://www.youtube.com/watch?v=YivoXjsOCPU
Sitting Bull: Battle of the Little Bighorn - Native American History - Part 3 - Extra History,2024-03-02,268219,12630,307,QYmyL9kwIJ4,646.0,https://www.youtube.com/watch?v=QYmyL9kwIJ4
Sitting Bull: No Reservations - Native American History - Part 2 - Extra History,2024-02-24,266266,12178,396,WI7TTeqrZm4,644.0,https://www.youtube.com/watch?v=WI7TTeqrZm4
Sitting Bull: Origin of a Legend - Native American History - Part 1 - Extra History,2024-02-17,404742,16983,435,CSa-aSM59JE,670.0,https://www.youtube.com/watch?v=CSa-aSM59JE
Empress Wu Zetian - LIES - Chinese History - Extra History,2024-02-10,85279,2259,104,rt1uePpPqCQ,1222.0,https://www.youtube.com/watch?v=rt1uePpPqCQ
Pigs: History's Greatest Villains? - World History - Extra History,2024-02-07,294497,13304,554,0_S0dlpMsBQ,459.0,https://www.youtube.com/watch?v=0_S0dlpMsBQ
The Disastrous History of the First Transatlantic Cable - World History - Extra History,2024-02-03,720013,26048,513,H8kdhlzueBo,658.0,https://www.youtube.com/watch?v=H8kdhlzueBo
First Firearm Assassination - Extra History #shorts,2024-01-30,5763090,426271,1232,D_DdQy-da4I,58.0,https://www.youtube.com/watch?v=D_DdQy-da4I
Wu Zetian: Boy-Toys and Buddhas - Chinese History - Part 5 - Extra History,2024-01-27,316464,13916,255,omh_ReMW74M,617.0,https://www.youtube.com/watch?v=omh_ReMW74M
Wu Zetian: Finally Emperor - Chinese History - Part 4 - Extra History,2024-01-20,333517,12948,179,dd8PXhuU1K8,637.0,https://www.youtube.com/watch?v=dd8PXhuU1K8
Wu Zetian: Bloody Ghosts and Riots - Chinese History - Part 3 - Extra History,2024-01-13,424846,15958,229,Ujw7ndmOGPk,662.0,https://www.youtube.com/watch?v=Ujw7ndmOGPk
MASSIVE Amounts of Gunpowder! 💥 - Extra History #shorts,2024-01-09,3423678,276145,723,YaEMjn6Me4g,56.0,https://www.youtube.com/watch?v=YaEMjn6Me4g
Wu Zetian: China’s Most Famous Murder - Chinese History - Part 2 - Extra History,2024-01-06,459217,16927,352,xmOM-Ng2hKw,622.0,https://www.youtube.com/watch?v=xmOM-Ng2hKw
Wu Zetian: Hated by Gods and Men - Chinese History - Part 1 - Extra History,2023-12-30,751114,24500,531,WBt0T256HD0,633.0,https://www.youtube.com/watch?v=WBt0T256HD0
"The History of 3,000,000 - Extra History #shorts",2023-12-26,1700330,157838,861,M5QHnivmyyM,60.0,https://www.youtube.com/watch?v=M5QHnivmyyM
The REAL War on Christmas - The Plum Pudding Riots - English History - Extra History,2023-12-23,282315,11461,490,Tk2M-7q1G_A,647.0,https://www.youtube.com/watch?v=Tk2M-7q1G_A
The Little Ice Age - LIES - World History - Extra History,2023-12-16,49882,1503,123,GLBSZN5Kvx0,1622.0,https://www.youtube.com/watch?v=GLBSZN5Kvx0
The Dodo Bird: What ACTUALLY Happened - Extra History,2023-12-14,649607,25733,791,8Npavzk_PBA,551.0,https://www.youtube.com/watch?v=8Npavzk_PBA
Vlad Dracul SUCKED! - Worst Dads in History - Extra History #shorts,2023-12-12,7165164,607544,1824,UetUSarOhfE,60.0,https://www.youtube.com/watch?v=UetUSarOhfE
Shootout at the OK Corral: The Showdown - US History - Part 2 - Extra History,2023-12-09,346657,14905,366,mLQidyCs_EE,632.0,https://www.youtube.com/watch?v=mLQidyCs_EE
Ivan WAS Terrible! - Worst Dads in History - Extra History #shorts,2023-12-05,11381439,882825,2374,mSpdhWCtnak,60.0,https://www.youtube.com/watch?v=mSpdhWCtnak
Shootout at the OK Corral: Why it Went Down - US History - Part 1 - Extra History,2023-12-02,488669,18020,431,LSW1HCNbsYE,598.0,https://www.youtube.com/watch?v=LSW1HCNbsYE
Little Ice Age: The Year Without a Summer - World History - Part 4 - Extra History,2023-11-25,271940,11028,463,jp9QwfW-nDQ,645.0,https://www.youtube.com/watch?v=jp9QwfW-nDQ
Little Ice Age: The Witch Hunts - World History - Part 3 - Extra History,2023-11-18,282444,10886,435,lTgAIxA1f8w,624.0,https://www.youtube.com/watch?v=lTgAIxA1f8w
The Little Ice Age: No More Food - World History - Part 2 - Extra History,2023-11-11,335463,12569,240,_J6UYePC40w,587.0,https://www.youtube.com/watch?v=_J6UYePC40w
